,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
15,0,1,16,1,1,1,4,4,health,other,home,mother,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,14,14,14
16,0,1,16,1,1,1,4,4,services,services,reputation,mother,1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6,13,14,14
17,0,1,16,1,1,1,3,3,other,other,reputation,mother,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4,8,10,10
18,0,0,17,1,1,1,3,2,services,services,course,mother,1,1,3,0,1,0,1,1,1,1,0,5,5,5,2,4,5,16,6,5,5
19,0,0,16,1,0,1,4,3,health,other,home,father,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4,8,10,10
20,0,0,15,1,1,1,4,3,teacher,other,reputation,mother,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,13,14,15
21,0,0,15,1,1,1,4,4,health,health,other,father,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,12,15,15
22,0,0,16,1,0,1,4,2,teacher,other,course,mother,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,2,15,15,16
23,0,0,16,1,0,1,2,2,other,other,reputation,mother,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0,13,13,12
24,0,1,15,0,1,1,2,4,services,health,course,mother,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,10,9,8
25,0,1,16,1,1,1,2,2,services,services,home,mother,1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14,6,9,8
26,0,0,15,1,1,1,2,2,other,other,home,mother,1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,5,2,12,12,11
27,0,0,15,1,1,1,4,2,health,services,other,mother,1,1,0,0,0,1,0,1,1,1,0,2,2,4,2,4,1,4,15,16,15
28,0,0,16,1,0,0,3,4,services,other,home,mother,1,2,0,1,1,0,1,1,1,1,0,5,3,3,1,1,5,4,11,11,11
29,0,0,16,1,1,1,4,4,teacher,teacher,home,mother,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,16,10,12,11
30,0,0,15,1,1,1,4,4,health,services,home,mother,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,9,11,12
31,0,0,15,1,1,1,4,4,services,services,reputation,mother,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,0,17,16,17
32,0,0,15,0,1,1,4,3,teacher,at_home,course,mother,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,17,16,16
33,0,0,15,1,0,1,3,3,other,other,course,mother,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,8,10,12
34,0,0,16,1,1,1,3,2,other,other,home,mother,1,1,0,0,1,1,0,0,1,1,0,5,4,3,1,1,5,0,12,14,15
35,0,1,15,1,1,1,2,3,other,other,other,father,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,0,8,7,6
36,0,0,15,1,0,1,4,3,teacher,services,home,mother,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,2,15,16,18
37,0,0,16,0,1,0,4,4,other,teacher,reputation,mother,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,7,15,16,15
38,0,1,15,0,1,1,3,4,services,health,course,mother,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,12,12,11
39,0,1,15,0,1,1,2,2,at_home,other,reputation,mother,1,1,0,1,1,1,1,1,1,0,0,4,3,1,1,1,2,8,14,13,13
40,0,1,16,1,0,1,2,2,other,other,home,mother,2,2,1,0,1,0,1,0,1,1,1,3,3,3,1,2,3,25,7,10,11
41,0,0,15,1,0,1,4,4,teacher,other,home,other,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,12,12,12
42,0,0,15,1,1,1,4,4,services,teacher,course,father,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,2,19,18,18
43,0,0,15,1,1,1,2,2,services,services,course,father,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,8,8,11
44,0,1,16,1,0,1,2,2,other,at_home,course,father,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14,10,10,9
45,0,1,15,1,0,0,4,3,other,other,course,mother,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,8,8,8,6
46,0,1,16,1,0,0,3,3,other,services,home,mother,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,12,11,12,11
47,0,0,16,1,1,1,4,3,health,services,reputation,mother,1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,4,19,19,20
48,0,0,15,1,1,1,4,2,teacher,other,home,mother,1,2,0,0,1,1,0,1,1,0,0,4,3,3,2,2,5,2,15,15,14
49,0,1,15,1,1,1,4,4,services,teacher,other,father,1,2,1,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2,7,7,7
50,0,1,16,1,0,1,2,2,services,services,course,mother,3,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,4,2,12,13,13
51,0,1,15,1,0,1,4,2,health,other,other,mother,1,2,0,0,1,1,0,1,1,1,0,4,3,3,1,1,5,2,11,13,13
52,0,0,15,1,0,0,4,2,health,health,other,father,2,1,1,0,0,0,0,1,1,0,0,5,5,5,3,4,5,6,11,11,10
53,0,1,15,1,1,1,4,4,services,services,course,mother,1,1,0,1,1,1,0,1,1,1,0,3,3,4,2,3,5,0,8,10,11
54,0,1,15,1,0,0,3,3,other,other,other,mother,1,1,0,0,0,1,0,1,1,1,0,5,3,4,4,4,1,6,10,13,13
55,0,1,16,1,1,0,2,1,other,other,other,mother,1,2,0,0,0,1,1,1,1,1,1,5,3,4,1,1,2,8,8,9,10
56,0,1,15,1,1,0,4,3,services,services,reputation,mother,1,2,0,0,1,1,1,1,1,1,0,4,3,2,1,1,1,0,14,15,15
57,0,0,15,1,1,1,4,4,teacher,health,reputation,mother,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,4,14,15,15
58,0,0,15,1,0,1,1,2,other,at_home,home,father,1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,9,10,9
59,0,1,16,1,1,1,4,2,services,other,course,mother,1,2,0,0,1,0,0,1,1,1,0,4,2,3,1,1,5,2,15,16,16
60,0,1,16,0,1,1,4,4,health,teacher,other,mother,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,6,10,11,11
61,0,1,16,1,1,1,1,1,services,services,course,father,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,6,10,8,11
62,0,1,16,1,0,1,1,2,other,services,reputation,father,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,4,8,10,9
63,0,1,16,1,1,1,4,3,teacher,health,home,mother,1,3,0,1,1,1,1,1,1,1,0,3,4,4,2,4,4,2,10,9,9
64,0,1,15,1,0,1,4,3,services,services,reputation,father,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0,10,10,10
65,0,1,16,1,0,1,4,3,teacher,services,course,mother,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,16,15,15
66,0,0,15,1,1,0,4,4,other,services,reputation,mother,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,4,13,13,12
67,0,1,16,1,1,1,3,1,services,other,course,mother,1,4,0,1,1,1,0,1,1,1,0,4,3,3,1,2,5,4,7,7,6
68,0,1,15,0,0,1,2,2,health,services,reputation,mother,2,2,0,1,1,1,0,1,1,1,0,4,1,3,1,3,4,2,8,9,8
69,0,1,15,0,0,1,3,1,other,other,reputation,father,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,12,16,16,16
70,0,0,16,1,1,1,3,1,other,other,reputation,father,2,4,0,0,1,1,0,1,1,1,0,4,3,2,1,1,5,0,13,15,15
71,0,0,15,1,1,1,4,2,other,other,course,mother,1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,10,10,10
72,0,1,15,0,1,1,1,1,other,other,reputation,mother,1,2,2,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2,8,6,5
73,0,0,16,1,1,1,3,1,other,other,reputation,mother,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,2,12,12,14
74,0,1,16,1,1,1,3,3,other,services,home,mother,1,2,0,1,1,1,1,1,1,1,0,4,3,3,2,4,5,54,11,12,11
75,0,0,15,1,1,1,4,3,teacher,other,home,mother,1,2,0,0,1,1,1,1,1,1,0,4,3,3,2,3,5,6,9,9,10
76,0,0,15,1,1,1,4,0,teacher,other,course,mother,2,4,0,0,0,0,1,1,1,1,0,3,4,3,1,1,1,8,11,11,10
77,0,1,16,1,1,1,2,2,other,other,reputation,mother,1,4,0,0,0,1,0,1,1,1,1,5,2,3,1,3,3,0,11,11,11
78,0,0,17,1,1,1,2,1,other,other,home,mother,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,2,8,8,10
79,0,0,17,1,1,1,2,1,other,other,home,mother,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,2,8,8,10
80,0,0,17,1,1,1,2,1,other,other,home,mother,1,1,3,0,1,0,0,1,1,1,0,5,4,5,1,2,5,0,5,0,0
81,0,0,17,1,1,1,2,1,other,other,home,mother,1,1,3,0,1,0,0,1,1,1,0,5,4,5,1,2,5,0,5,0,0
82,0,1,16,1,1,1,3,4,at_home,other,course,mother,1,2,0,0,1,0,0,1,1,1,0,2,4,3,1,2,3,12,5,5,5
83,0,0,15,1,1,1,2,3,other,services,course,father,1,1,0,1,1,1,1,0,1,1,1,3,2,2,1,3,3,2,10,12,12
84,0,0,15,1,1,1,2,3,other,other,home,mother,1,3,0,1,0,1,0,0,1,1,0,5,3,2,1,2,5,4,11,10,11
85,0,1,15,1,0,1,3,2,services,other,reputation,mother,1,2,0,0,1,1,0,1,1,1,0,4,4,4,1,1,5,10,7,6,6
86,0,0,15,1,0,1,2,2,services,services,home,mother,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,4,15,15,15
87,0,1,15,1,1,1,1,1,other,other,home,father,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2,9,10,10
88,0,1,15,1,1,1,4,4,services,services,reputation,father,2,2,2,0,0,1,0,1,1,1,1,4,4,4,2,3,5,6,7,9,8
89,0,1,16,1,0,1,2,2,at_home,other,course,mother,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,2,4,8,7,6
90,0,1,15,1,1,1,4,2,other,other,reputation,mother,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,1,4,13,14,14
91,0,0,16,1,1,1,2,2,services,other,reputation,father,2,2,1,0,0,1,1,0,1,1,0,4,4,2,1,1,3,12,11,10,10
92,0,0,16,1,0,0,4,4,teacher,health,reputation,mother,1,2,0,0,1,0,0,1,1,0,0,4,1,3,3,5,5,18,8,6,7
93,0,1,16,1,1,1,3,3,other,other,home,mother,1,3,0,0,1,1,0,1,1,1,1,4,3,3,1,3,4,0,7,7,8
94,0,1,15,1,1,1,4,3,services,other,reputation,mother,1,1,0,0,0,1,1,1,1,1,0,4,5,5,1,3,1,4,16,17,18
95,0,1,16,1,0,1,3,1,other,other,home,father,1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,3,2,4,7,6,6
96,0,1,16,1,1,1,4,2,teacher,services,home,mother,2,2,0,0,1,1,1,1,1,1,0,5,3,3,1,1,1,0,11,10,10
97,0,0,15,1,0,1,2,2,services,health,reputation,mother,1,4,0,0,1,0,1,1,1,1,0,4,3,4,1,1,4,6,11,13,14
98,0,1,15,0,1,1,1,1,at_home,other,home,mother,2,4,1,1,1,1,1,1,1,1,0,3,1,2,1,1,1,2,7,10,10
99,0,0,16,0,1,1,4,3,services,other,reputation,mother,2,1,0,1,1,0,1,0,1,1,0,3,3,3,1,1,4,2,11,15,15
100,0,1,16,1,1,1,2,1,other,other,course,mother,1,2,0,0,1,1,0,1,1,0,1,4,3,5,1,1,5,2,8,9,10
101,0,1,16,1,1,1,4,4,other,other,reputation,mother,1,1,0,0,0,0,1,0,1,1,0,5,3,4,1,2,1,6,11,14,14
102,0,1,16,1,1,1,4,3,other,at_home,course,mother,1,3,0,1,1,1,0,1,1,1,0,5,3,5,1,1,3,0,7,9,8
103,0,0,16,1,1,1,4,4,services,services,other,mother,1,1,0,1,1,1,1,1,1,1,0,4,5,5,5,5,4,14,7,7,5
104,0,0,16,1,1,1,4,4,services,teacher,other,father,1,3,0,0,1,0,1,1,1,1,1,4,4,3,1,1,4,0,16,17,17
105,0,0,15,1,1,1,4,4,services,other,course,mother,1,1,0,0,1,0,1,0,1,1,0,5,3,3,1,1,5,4,10,13,14
106,0,1,15,1,1,1,3,2,services,other,home,mother,2,2,0,1,1,1,0,1,1,1,0,4,3,5,1,1,2,26,7,6,6
107,0,0,15,1,1,0,3,4,services,other,course,mother,1,2,0,0,1,1,1,1,1,1,0,5,4,4,1,1,1,0,16,18,18
108,0,1,15,1,1,0,3,3,other,health,reputation,father,1,4,0,1,0,0,0,1,1,0,0,4,3,3,1,1,4,10,10,11,11
109,0,1,15,1,1,1,2,2,other,other,course,mother,1,4,0,1,1,1,0,1,1,1,0,5,1,2,1,1,3,8,7,8,8
110,0,0,16,1,1,1,3,3,services,other,home,father,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,2,16,18,18
111,0,0,16,1,1,1,3,3,services,other,home,father,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,2,16,18,18
112,0,0,16,1,1,1,3,3,services,other,home,mother,1,2,0,0,0,1,1,1,1,1,1,4,2,3,1,2,3,2,12,13,12
113,0,0,16,1,1,1,3,3,services,other,home,mother,1,2,0,0,0,1,1,1,1,1,1,4,2,3,1,2,3,2,12,13,12
114,0,0,15,0,1,1,4,4,other,other,home,father,4,4,0,0,1,1,1,1,1,1,1,1,3,5,3,5,1,6,10,13,13
115,0,1,16,1,0,1,4,4,health,health,other,mother,1,3,0,0,1,1,1,1,1,1,1,5,4,5,1,1,4,4,14,15,16
116,0,0,15,1,0,0,4,4,teacher,teacher,course,mother,1,1,0,0,0,0,1,1,1,1,0,5,5,3,1,1,4,6,18,19,19
117,0,1,16,0,1,1,3,3,services,other,reputation,father,1,3,1,1,1,0,1,1,1,1,0,4,1,2,1,1,2,0,7,10,10
118,0,1,16,1,1,1,2,2,at_home,other,home,mother,1,2,1,1,0,0,1,1,1,1,0,3,1,2,1,1,5,6,10,13,13
119,0,0,15,1,0,1,4,2,teacher,other,course,mother,1,1,0,0,0,0,0,1,1,1,0,3,5,2,1,1,3,10,18,19,19
120,0,0,15,0,1,1,2,1,health,services,reputation,mother,1,2,0,0,0,0,1,1,1,1,1,5,4,2,1,1,5,8,9,9,9
121,0,0,16,1,1,1,4,4,teacher,teacher,course,father,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,2,15,15,16
122,0,0,16,1,1,1,4,4,teacher,teacher,course,father,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,2,15,15,16
123,0,0,16,1,1,1,4,4,teacher,teacher,course,mother,1,1,0,0,1,0,0,1,0,1,1,3,3,2,2,1,5,0,7,6,0
124,0,0,16,1,1,1,4,4,teacher,teacher,course,mother,1,1,0,0,1,0,0,1,0,1,1,3,3,2,2,1,5,0,7,6,0
125,0,0,15,1,1,1,4,4,other,teacher,reputation,father,2,2,0,0,1,0,1,1,1,0,0,4,4,3,1,1,2,2,11,13,14
126,0,0,16,1,1,1,3,3,other,services,home,father,2,1,0,0,0,0,1,1,1,1,0,5,4,2,1,1,5,0,13,14,13
127,0,0,17,0,1,1,1,3,other,other,course,father,3,2,1,0,1,0,1,1,1,1,0,5,2,4,1,4,5,20,9,7,8
128,0,0,15,1,1,1,3,4,other,other,reputation,father,1,1,0,0,0,0,0,1,1,1,0,3,4,3,1,2,4,6,14,13,13
129,0,1,15,1,1,1,1,2,at_home,services,course,mother,1,2,0,0,0,0,0,0,1,1,0,3,2,3,1,2,1,2,16,15,15
130,0,0,15,1,1,1,2,2,services,services,home,father,1,4,0,0,1,1,1,1,1,1,0,5,5,4,1,2,5,6,16,14,15
131,0,1,16,1,0,1,2,4,other,health,course,father,2,2,0,0,1,1,1,1,1,1,1,4,2,2,1,2,5,2,13,13,13
132,0,0,16,1,1,1,4,4,health,other,course,mother,1,1,0,0,1,0,1,1,1,1,0,3,4,4,1,4,5,18,14,11,13
133,0,1,16,1,1,1,2,2,other,other,home,mother,1,2,0,0,0,1,0,1,1,1,1,5,4,4,1,1,5,0,8,7,8
134,0,0,15,1,1,1,3,4,services,services,home,father,1,1,0,1,0,0,0,1,1,1,0,5,5,5,3,2,5,0,13,13,12
135,0,1,15,1,0,0,3,4,other,other,home,mother,1,2,0,1,0,0,1,1,1,1,1,5,3,2,1,1,1,0,7,10,11
136,0,1,19,1,1,1,0,1,at_home,other,course,other,1,2,3,0,1,0,0,0,0,0,0,3,4,2,1,1,5,2,7,8,9
137,0,0,16,0,1,1,4,4,teacher,teacher,course,mother,1,1,0,0,0,1,1,1,1,1,0,3,5,5,2,5,4,8,18,18,18
138,0,1,15,0,1,1,3,4,services,teacher,course,father,2,3,2,0,1,0,0,1,1,1,1,4,2,2,2,2,5,0,12,0,0
139,0,1,15,1,1,1,1,1,at_home,other,course,mother,3,1,0,0,1,0,1,0,1,1,1,4,3,3,1,2,4,0,8,0,0
140,0,1,17,1,0,1,2,2,other,other,course,father,1,1,0,0,1,0,0,1,1,1,1,3,4,4,1,3,5,12,10,13,12
141,0,1,16,1,1,0,3,4,services,other,course,father,1,1,0,0,0,0,0,1,1,1,0,3,2,1,1,4,5,16,12,11,11
142,0,0,15,0,1,1,3,4,at_home,teacher,course,mother,4,2,0,0,1,0,0,1,1,0,1,5,3,3,1,1,5,0,9,0,0
143,0,1,15,1,1,1,4,4,services,at_home,course,mother,1,3,0,0,1,0,1,1,1,1,1,4,3,3,1,1,5,0,11,0,0
144,0,0,17,0,1,1,3,4,at_home,other,course,mother,3,2,0,0,0,0,0,1,1,0,0,5,4,5,2,4,5,0,10,0,0
145,0,1,16,1,1,0,3,3,other,other,course,other,2,1,2,0,1,0,1,0,1,1,1,4,3,2,1,1,5,0,4,0,0
146,0,0,16,1,0,1,1,1,services,other,course,mother,1,2,1,0,0,0,0,1,1,0,1,4,4,4,1,3,5,0,14,12,12
147,0,1,15,1,1,1,4,4,teacher,teacher,course,mother,2,1,0,0,0,0,1,1,1,1,0,4,3,2,1,1,5,0,16,16,15
148,0,0,15,1,1,1,4,3,teacher,services,course,father,2,4,0,1,1,0,0,1,1,1,0,2,2,2,1,1,3,0,7,9,0
149,0,0,16,1,0,1,2,2,services,services,reputation,father,2,1,2,0,1,0,1,1,1,1,0,2,3,3,2,2,2,8,9,9,9
150,0,1,15,1,1,1,4,4,teacher,services,course,mother,1,3,0,0,1,1,1,1,1,1,0,4,2,2,1,1,5,2,9,11,11
151,0,1,16,1,0,1,1,1,at_home,at_home,course,mother,1,1,0,0,0,0,0,1,1,1,0,3,4,4,3,3,1,2,14,14,13
152,0,1,15,1,1,1,1,1,other,services,course,father,1,2,0,0,1,1,0,1,1,1,0,4,4,2,1,2,5,0,8,11,11
153,0,1,15,1,1,1,3,2,health,services,home,father,1,2,3,0,1,0,0,1,1,1,0,3,3,2,1,1,3,0,6,7,0
154,0,1,15,1,1,1,1,2,at_home,other,course,mother,1,2,0,0,1,1,0,0,1,1,0,4,3,2,1,1,5,2,10,11,11
155,0,0,15,1,0,0,2,1,services,other,course,mother,4,1,3,0,0,0,0,1,1,1,0,4,5,5,2,5,5,0,8,9,10
156,0,0,18,1,0,1,1,1,other,other,course,mother,1,1,3,0,0,0,0,1,0,1,1,2,3,5,2,5,4,0,6,5,0
157,0,0,16,1,0,1,2,1,at_home,other,course,mother,1,1,1,0,0,0,1,1,1,0,1,4,4,4,3,5,5,6,12,13,14
158,0,1,15,0,1,1,3,3,services,services,reputation,other,2,3,2,0,1,1,1,1,1,1,1,4,2,1,2,3,3,8,10,10,10
159,0,0,19,1,1,1,3,2,services,at_home,home,mother,1,1,3,0,1,0,0,1,0,1,1,4,5,4,1,1,4,0,5,0,0
160,0,1,17,1,1,1,4,4,other,teacher,course,mother,1,1,0,1,1,0,0,1,1,0,1,4,2,1,1,1,4,0,11,11,12
161,0,0,15,0,1,1,2,3,at_home,services,course,mother,1,2,0,1,0,1,1,1,1,0,0,4,4,4,1,1,1,2,11,8,8
162,0,0,17,0,0,1,1,2,other,other,reputation,mother,1,1,0,0,0,0,0,1,1,0,0,2,2,2,3,3,5,8,16,12,13
163,0,1,18,0,1,1,1,1,at_home,other,course,mother,3,1,3,0,1,0,1,0,1,0,0,5,2,5,1,5,4,6,9,8,10
164,0,0,16,0,1,1,2,2,at_home,other,course,mother,3,1,0,0,0,0,0,0,1,0,0,4,2,2,1,2,3,2,17,15,15
165,0,0,16,1,1,1,3,3,other,services,course,father,1,2,1,0,1,1,0,1,1,1,1,4,5,5,4,4,5,4,10,12,12
166,0,0,17,0,0,1,2,1,at_home,other,course,mother,2,1,2,0,0,0,1,1,0,1,1,3,3,2,2,2,5,0,7,6,0
167,0,0,17,0,0,1,1,1,other,services,course,mother,4,2,3,0,0,0,1,1,0,0,1,5,3,5,1,5,5,0,5,8,7
168,0,0,16,1,1,1,2,2,other,other,course,father,1,2,0,0,0,0,0,1,0,1,0,4,3,5,2,4,4,4,10,10,10
169,0,1,16,1,1,1,4,2,health,services,home,father,1,2,0,0,0,1,0,1,1,1,1,4,2,3,1,1,3,0,14,15,16
170,0,1,16,1,1,1,2,2,other,other,home,mother,1,2,0,0,1,1,0,0,1,1,0,5,1,5,1,1,4,0,6,7,0
171,0,1,16,1,1,1,4,4,health,health,reputation,mother,1,2,0,0,1,1,0,1,1,1,1,4,4,2,1,1,3,0,14,14,14
172,0,0,16,1,1,1,3,4,other,other,course,father,3,1,2,0,1,0,1,0,1,1,0,3,4,5,2,4,2,0,6,5,0
173,0,0,16,1,1,1,1,0,other,other,reputation,mother,2,2,0,0,1,1,1,1,1,1,1,4,3,2,1,1,3,2,13,15,16
174,0,0,17,1,0,1,4,4,teacher,other,reputation,mother,1,2,0,0,1,1,1,1,1,1,0,4,4,4,1,3,5,0,13,11,10
175,0,1,16,1,1,1,1,3,at_home,services,home,mother,1,2,3,0,0,0,1,0,1,1,1,4,3,5,1,1,3,0,8,7,0
176,0,1,16,1,0,1,3,3,other,other,reputation,mother,2,2,0,0,1,1,1,1,1,1,0,4,4,5,1,1,4,4,10,11,9
177,0,0,17,1,0,1,4,3,teacher,other,course,mother,2,2,0,0,0,1,1,1,1,1,0,4,4,4,4,4,4,4,10,9,9
178,0,1,16,1,1,1,2,2,services,other,reputation,mother,2,2,0,0,0,1,1,0,1,1,0,3,4,4,1,4,5,2,13,13,11
179,0,0,17,1,1,1,3,3,other,other,reputation,father,1,2,0,0,0,0,1,0,1,1,0,4,3,4,1,4,4,4,6,5,6
180,0,0,16,0,1,1,4,2,teacher,services,other,mother,1,1,0,0,1,0,1,1,1,1,1,4,3,3,3,4,3,10,10,8,9
181,0,0,17,1,1,1,4,3,other,other,course,mother,1,2,0,0,1,0,1,1,1,1,1,5,2,3,1,1,2,4,10,10,11
182,0,0,16,1,1,1,4,3,teacher,other,home,mother,1,2,0,0,1,1,1,1,1,1,0,3,4,3,2,3,3,10,9,8,8
183,0,1,17,1,1,1,2,4,services,services,reputation,father,1,2,0,0,1,0,1,1,1,0,0,5,4,2,2,3,5,0,16,17,17
184,0,1,17,1,0,1,3,3,other,other,reputation,mother,1,2,0,0,1,0,1,1,1,1,1,5,3,3,2,3,1,56,9,9,8
185,0,1,16,1,1,1,3,2,other,other,reputation,mother,1,2,0,0,1,1,0,1,1,1,0,1,2,2,1,2,1,14,12,13,12
186,0,0,17,1,1,1,3,3,services,services,other,mother,1,2,0,0,1,0,1,1,1,1,1,4,3,4,2,3,4,12,12,12,11
187,0,0,16,1,1,1,1,2,services,services,other,mother,1,1,0,0,1,1,1,1,1,1,1,3,3,3,1,2,3,2,11,12,11
188,0,0,16,1,0,1,2,1,other,other,course,mother,1,2,0,0,0,1,1,1,1,1,1,4,2,3,1,2,5,0,15,15,15
189,0,1,17,1,1,0,3,3,health,other,reputation,mother,1,2,0,0,1,0,0,0,1,1,1,3,3,3,1,3,3,6,8,7,9
190,0,0,17,0,1,1,1,2,at_home,other,home,mother,1,2,0,0,0,0,0,1,1,0,0,3,1,3,1,5,3,4,8,9,10
191,0,1,16,1,1,1,2,3,services,services,course,mother,1,2,0,0,0,0,0,1,1,1,0,4,3,3,1,1,2,10,11,12,13
192,0,1,17,1,1,1,1,1,at_home,services,course,mother,1,2,0,0,0,0,1,1,1,1,0,5,3,3,1,1,3,0,8,8,9
193,0,0,17,1,1,1,1,2,at_home,services,other,other,2,2,0,0,0,1,1,0,1,1,0,4,4,4,4,5,5,12,7,8,8
194,0,0,16,0,1,1,3,3,services,services,reputation,mother,1,1,0,0,1,0,1,1,1,1,0,4,3,2,3,4,5,8,8,9,10
195,0,0,16,1,1,1,2,3,other,other,home,father,2,1,0,0,0,0,0,1,1,1,0,5,3,3,1,1,3,0,13,14,14
